,time,target,response,frequency
0,2.44287109375,2,2,1000
1,5.95263671875,2,2,1000
2,7.5224609375,1,1,1000
3,11.22216796875,1,1,1000
4,14.09228515625,2,2,1000
5,15.64208984375,1,1,1000
6,17.8720703125,1,1,1000
7,20.62158203125,2,2,1000
8,22.3515625,1,1,1000
9,24.44140625,1,1,1000
10,26.54150390625,1,1,1200
11,28.9013671875,1,1,1000
12,31.021484375,1,1,1000
13,33.701171875,2,2,1000
14,35.201171875,1,1,1000
15,37.32080078125,1,1,1000
16,39.62109375,1,1,1000
17,41.7509765625,1,1,1000
18,45.0205078125,2,1,1200
19,47.37060546875,1,1,1000
20,50.12060546875,2,2,1000
21,51.81005859375,1,2,1000
22,55.1201171875,1,1,1200
23,57.94970703125,2,1,1200
24,60.3896484375,2,1,1200
25,62.349609375,1,1,1000
26,64.48974609375,1,2,1200
27,67.03955078125,1,1,1000
28,69.7392578125,2,2,1000
29,72.0390625,2,2,1200
30,75.119140625,2,2,1000
31,77.369140625,2,2,1000
32,79.548828125,2,1,1200
33,81.5390625,1,1,1000
34,84.23876953125,2,2,1000
35,85.64892578125,1,2,1000
36,88.0986328125,1,1,1000
37,90.6982421875,2,1,1000
38,92.8984375,2,2,1000
39,95.1982421875,2,1,1000
40,97.51806640625,2,1,1000
41,99.6181640625,2,2,1000
42,101.36767578125,1,1,1200
43,104.017578125,1,2,1200
44,106.7177734375,2,2,1000
45,111.1171875,1,2,1200
46,113.697265625,1,1,1200
47,117.29736328125,1,1,1000
48,119.9970703125,2,2,1000
0,125.396484375,2,2,1000
1,127.7666015625,2,2,1000
2,130.51611328125,2,2,1000
3,132.69580078125,2,2,1200
4,135.1162109375,2,2,1000
5,137.19580078125,2,2,1200
6,143.015625,1,1,1000
7,145.515625,2,2,1000
8,147.49560546875,2,2,1000
9,149.4453125,2,2,1000
10,150.81494140625,1,1,1200
11,158.46484375,2,2,1000
12,159.8447265625,1,1,1000
13,168.29443359375,2,2,1000
14,169.744140625,1,1,1200
15,173.46435546875,2,1,1200
16,176.68408203125,2,1,1200
17,179.083984375,2,1,1200
18,181.36376953125,2,1,1000
19,184.19384765625,1,1,1000
20,186.9833984375,2,1,1000
21,191.59326171875,2,2,1200
22,195.29296875,2,2,1000
23,196.81298828125,1,1,1000
24,198.9130859375,1,1,1000
25,201.5126953125,2,2,1000
26,203.73291015625,2,2,1000
27,205.24267578125,1,1,1000
28,207.79248046875,1,1,1000
29,209.83251953125,1,1,1000
30,211.912109375,1,1,1000
31,214.0322265625,1,1,1000
32,216.58203125,2,2,1000
33,218.9619140625,2,2,1000
34,221.1318359375,2,2,1200
35,223.841796875,1,1,1000
36,226.3916015625,2,2,1000
37,230.13134765625,2,2,1000
38,231.69140625,1,1,1000
39,234.21142578125,2,2,1000
40,236.291015625,2,2,1000
41,238.44091796875,2,2,1000
42,240.43115234375,2,2,1000
43,242.58056640625,2,2,1200
44,244.810546875,2,1,1200
45,246.36083984375,1,1,1000
46,248.38037109375,1,1,1000
47,250.4404296875,1,1,1000
48,254.66015625,2,1,1200
0,262.330078125,2,2,1000
1,263.7900390625,1,1,1000
2,268.03955078125,2,2,1000
3,270.12939453125,2,2,1200
4,272.20947265625,1,2,1200
5,276.359375,2,2,1000
6,278.5791015625,2,2,1000
7,279.92919921875,1,2,1000
8,282.87890625,2,2,1000
9,284.2587890625,1,2,1000
10,286.978515625,1,2,1200
11,291.45849609375,2,2,1200
12,295.7080078125,1,1,1000
13,298.22802734375,2,2,1000
14,300.6279296875,2,2,1000
15,302.65771484375,2,1,1000
16,304.5576171875,1,1,1000
17,307.03759765625,2,2,1000
18,308.62744140625,1,1,1000
19,310.53759765625,1,1,1000
20,313.17724609375,2,1,1000
21,316.4072265625,1,2,1200
22,319.75732421875,2,1,1000
23,323.53662109375,2,1,1200
24,325.6767578125,1,1,1000
25,327.6767578125,1,2,1000
26,330.9267578125,1,2,1000
27,334.20654296875,1,1,1000
28,338.2763671875,1,1,1000
29,340.50634765625,1,1,1000
30,343.1357421875,2,2,1000
31,345.3759765625,2,2,1000
32,346.95556640625,1,2,1200
33,349.98583984375,2,2,1000
34,354.28515625,1,2,1200
35,356.75537109375,1,2,1000
36,361.705078125,2,2,1000
37,363.8349609375,2,2,1000
38,365.40478515625,1,1,1000
39,368.15478515625,2,2,1000
40,372.474609375,2,2,1000
41,375.904296875,2,2,1000
42,378.07421875,2,2,1200
43,380.72412109375,1,1,1000
44,382.68408203125,1,1,1000
45,384.9736328125,1,1,1200
46,387.4736328125,1,1,1000
47,390.2236328125,2,2,1200
48,393.30322265625,1,2,1200
0,399.02294921875,1,2,1000
1,403.42236328125,1,1,1000
2,405.5224609375,1,1,1200
3,408.6220703125,2,2,1000
4,410.7822265625,2,2,1000
5,412.85205078125,2,2,1000
6,414.52197265625,1,2,1200
7,417.40185546875,2,2,1000
8,419.78173828125,2,2,1000
9,422.03173828125,2,2,1000
10,425.42138671875,2,2,1000
11,426.88134765625,1,2,1000
12,429.951171875,1,2,1000
13,433.1513671875,1,1,1000
14,435.22119140625,1,1,1000
15,437.18115234375,1,1,1000
16,439.6806640625,2,1,1200
17,441.90087890625,2,2,1000
18,447.85009765625,1,2,1200
19,450.3701171875,1,1,1000
20,452.8701171875,2,1,1200
21,455.0498046875,2,1,1000
22,457.3798828125,2,2,1000
23,459.169921875,1,2,1000
24,462.5498046875,2,2,1000
25,464.07958984375,1,2,1000
26,467.04931640625,2,1,1200
27,470.119140625,1,1,1200
28,474.42919921875,2,2,1000
29,476.4189453125,2,1,1000
30,478.7490234375,1,1,1000
31,480.9189453125,1,1,1000
32,482.89892578125,1,1,1000
33,485.36865234375,2,2,1000
34,487.1982421875,1,2,1200
35,489.37841796875,1,2,1000
36,491.8984375,1,2,1000
37,494.6279296875,2,2,1200
38,498.02783203125,2,2,1000
39,499.6279296875,1,1,1000
40,501.91796875,1,1,1000
41,504.9677734375,1,1,1000
42,507.02734375,1,1,1200
43,509.79736328125,2,2,1000
44,511.92724609375,2,2,1000
45,514.046875,2,2,1200
46,516.29736328125,2,2,1000
47,518.27685546875,2,2,1000
48,522.19677734375,1,2,1200
0,528.42626953125,2,1,1200
1,532.97607421875,2,2,1000
2,535.02587890625,2,2,1200
3,537.166015625,1,1,1000
4,540.19580078125,1,1,1000
5,545.29541015625,2,2,1000
6,546.9453125,1,2,1200
7,549.7451171875,2,2,1000
8,551.7451171875,2,2,1000
9,556.39501953125,1,1,1000
10,559.794921875,2,2,1000
11,561.32470703125,1,1,1000
12,564.8447265625,2,2,1000
13,566.64404296875,1,2,1200
14,568.6943359375,1,1,1000
15,570.82421875,1,1,1000
16,572.94384765625,1,1,1200
17,575.7939453125,2,1,1200
18,578.2138671875,2,2,1000
19,580.173828125,2,2,1000
20,582.2236328125,1,1,1000
21,584.8935546875,2,2,1000
22,587.8134765625,2,2,1000
23,589.14306640625,1,1,1200
24,592.26318359375,2,2,1000
25,593.9931640625,1,2,1000
26,596.24267578125,1,2,1200
27,599.1728515625,1,1,1000
28,604.47265625,2,1,1200
29,606.61279296875,2,2,1000
30,608.8623046875,2,2,1200
31,610.47216796875,1,1,1000
32,612.64208984375,1,1,1000
33,614.81201171875,1,1,1000
34,617.572265625,2,1,1000
35,619.76171875,2,2,1000
36,621.6416015625,1,2,1200
37,624.3115234375,2,2,1000
38,625.921875,1,1,1000
39,628.04150390625,1,1,1000
40,630.72119140625,2,2,1000
41,632.611328125,1,1,1000
42,635.19140625,2,1,1000
43,637.4111328125,2,2,1000
44,640.2607421875,1,1,1000
45,642.31103515625,1,1,1000
46,644.890625,2,2,1200
47,649.140625,2,1,1000
48,651.26025390625,2,2,1000
0,656.5400390625,1,1,1000
1,660.08984375,1,1,1000
2,662.31982421875,1,1,1000
3,664.4892578125,1,1,1200
4,666.9892578125,1,1,1000
5,669.5888671875,2,1,1200
6,671.119140625,1,1,1000
7,673.51904296875,1,1,1000
8,676.21875,2,2,1200
9,677.96875,1,1,1000
10,680.61865234375,2,2,1000
11,682.2587890625,1,1,1000
12,684.888671875,2,2,1000
13,686.4384765625,1,1,1000
14,688.408203125,1,1,1000
15,691.01806640625,2,2,1000
16,692.7080078125,1,1,1000
17,695.23779296875,2,1,1000
18,697.73779296875,2,2,1000
19,699.43798828125,1,1,1000
20,702.25732421875,2,1,1200
21,707.017578125,1,1,1000
22,709.1572265625,1,1,1000
23,711.76708984375,2,1,1200
24,715.2373046875,1,1,1000
25,718.23681640625,2,1,1000
26,721.43701171875,1,1,1000
27,723.966796875,2,2,1000
28,726.08642578125,2,2,1200
29,728.91650390625,1,2,1000
30,735.505859375,1,2,1200
31,737.81591796875,1,1,1000
32,740.3359375,2,2,1000
33,741.935546875,1,1,1000
34,744.60546875,2,1,1000
35,746.8154296875,2,2,1000
36,749.7353515625,2,2,1000
37,752.08544921875,1,1,1000
38,755.455078125,1,2,1200
39,757.81494140625,1,2,1200
40,760.5849609375,1,1,1000
41,763.3046875,2,1,1000
42,765.15478515625,1,1,1000
43,770.7041015625,2,1,1200
44,774.13427734375,2,1,1200
45,776.8037109375,2,1,1200
46,779.4140625,1,1,1000
47,782.0537109375,2,2,1000
48,783.65380859375,1,1,1000
0,789.1630859375,1,1,1200
1,796.3125,1,1,1200
2,799.90283203125,1,1,1000
3,802.0126953125,1,1,1000
4,804.13232421875,1,1,1000
5,806.2822265625,1,1,1200
6,808.412109375,1,1,1200
7,811.1318359375,2,2,1200
8,813.3818359375,2,2,1000
9,815.162109375,1,1,1000
10,817.251953125,1,1,1200
11,820.7314453125,2,2,1000
12,828.01123046875,2,2,1000
13,830.1513671875,2,2,1000
14,831.73095703125,1,2,1200
15,834.43115234375,2,2,1000
16,836.630859375,2,2,1000
17,838.80078125,2,2,1200
18,841.1806640625,2,2,1000
19,843.45068359375,2,2,1000
20,845.650390625,2,2,1000
21,847.400390625,1,2,1000
22,851.080078125,2,1,1200
23,854.5,1,1,1000
24,857.16015625,2,2,1000
25,858.70947265625,1,2,1200
26,860.9794921875,1,1,1000
27,863.6796875,2,2,1000
28,865.2294921875,1,1,1000
29,867.49951171875,1,2,1000
30,877.6787109375,2,2,1000
31,879.10888671875,1,2,1000
32,881.49853515625,1,1,1000
33,883.57861328125,1,1,1000
34,885.74853515625,1,1,1000
35,888.3984375,2,1,1000
36,890.59814453125,2,2,1000
37,892.22802734375,1,1,1000
38,894.94775390625,2,1,1200
39,897.0078125,2,2,1000
40,899.59765625,2,2,1000
41,901.52783203125,1,2,1000
42,907.30712890625,1,2,1200
43,909.50732421875,1,1,1000
44,912.02734375,2,2,1000
45,913.70703125,1,1,1000
46,916.82666015625,1,1,1200
47,921.44677734375,1,1,1000
48,923.52685546875,1,1,1000
0,929.5048828125,2,2,1200
1,931.82470703125,2,2,1000
2,933.3046875,1,1,1000
3,936.0048828125,2,2,1000
4,937.474609375,1,2,1000
5,940.50439453125,1,1,1000
6,943.0244140625,2,2,1000
7,944.64453125,1,1,1000
8,947.25390625,2,1,1200
9,949.5439453125,1,1,1000
10,953.2041015625,1,1,1000
11,955.7236328125,2,1,1200
12,957.32373046875,1,1,1000
13,959.3232421875,1,2,1200
14,962.4033203125,1,1,1000
15,964.5234375,1,1,1000
16,966.6533203125,1,1,1000
17,968.693359375,1,1,1000
18,971.19287109375,2,1,1200
19,972.79296875,1,1,1000
20,975.4228515625,2,1,1200
21,977.052734375,1,2,1000
22,980.15234375,1,2,1200
23,983.04248046875,1,2,1000
24,985.5224609375,1,1,1000
25,988.1220703125,2,1,1000
26,990.97216796875,2,2,1000
27,992.64208984375,1,2,1000
28,995.60205078125,2,2,1000
29,997.2216796875,1,2,1000
30,999.3515625,1,2,1000
31,1002.091796875,2,2,1000
32,1004.3515625,2,2,1000
33,1006.37109375,2,2,1200
34,1008.60107421875,2,2,1200
35,1015.60107421875,2,2,1000
36,1017.12109375,1,2,1000
37,1022.5703125,2,2,1200
38,1025.3203125,2,1,1000
39,1027.490234375,2,2,1000
40,1029.43994140625,2,2,1200
41,1036.44970703125,1,1,1000
42,1038.56982421875,1,1,1000
43,1041.099609375,2,1,1000
44,1043.1396484375,2,1,1200
45,1045.2392578125,1,1,1000
46,1047.439453125,1,1,1000
47,1050.2490234375,2,2,1000
48,1052.96923828125,1,2,1000
0,1061.46533203125,1,1,1000
1,1064.58544921875,2,2,1000
2,1066.1650390625,1,1,1000
3,1068.18505859375,1,1,1200
4,1070.794921875,2,2,1000
5,1072.3349609375,1,1,1000
6,1076.41455078125,1,1,1000
7,1079.03466796875,2,2,1000
8,1081.34423828125,2,2,1200
9,1084.84423828125,2,2,1200
10,1086.6142578125,1,2,1000
11,1089.01416015625,1,1,1000
12,1091.5439453125,2,2,1200
13,1096.99365234375,2,2,1000
14,1098.7138671875,1,1,1000
15,1100.71337890625,1,1,1200
16,1103.38330078125,2,1,1200
17,1109.46337890625,2,2,1000
18,1111.9130859375,2,2,1000
19,1114.0830078125,2,2,1000
20,1116.28271484375,2,1,1200
21,1122.4326171875,2,2,1000
22,1124.29248046875,1,2,1000
23,1133.0419921875,2,2,1000
24,1135.091796875,2,2,1000
25,1137.2119140625,2,2,1000
26,1139.19189453125,1,1,1000
27,1141.33154296875,1,1,1000
28,1143.96142578125,2,2,1000
29,1146.0810546875,2,2,1200
30,1148.33154296875,2,2,1000
31,1149.9912109375,1,1,1000
32,1152.041015625,1,1,1000
33,1154.2109375,1,1,1200
34,1156.791015625,1,1,1000
35,1159.4306640625,2,2,1000
36,1161.2109375,1,1,1000
37,1164.0107421875,2,2,1000
38,1166.16015625,2,2,1000
39,1168.080078125,2,2,1000
40,1169.97998046875,2,2,1200
41,1171.72998046875,1,1,1000
42,1174.2099609375,2,1,1200
43,1182.78955078125,2,2,1000
44,1184.8095703125,2,2,1000
45,1186.75927734375,1,1,1200
46,1189.2392578125,1,1,1000
47,1191.75927734375,2,2,1000
48,1193.67919921875,1,1,1000
0,1199.25634765625,1,1,1000
1,1202.60595703125,1,1,1000
2,1205.255859375,1,1,1000
3,1207.35546875,1,1,1000
4,1209.65576171875,1,1,1000
5,1211.775390625,1,1,1000
6,1214.6552734375,2,1,1200
7,1216.85546875,2,2,1000
8,1218.43505859375,1,1,1000
9,1220.60498046875,1,1,1200
10,1227.73486328125,1,1,1000
11,1230.7744140625,2,1,1000
12,1232.8544921875,2,2,1000
13,1235.13427734375,2,2,1200
14,1236.83447265625,1,1,1000
15,1238.90380859375,1,1,1200
16,1244.47412109375,1,1,1000
17,1247.0537109375,2,2,1000
18,1249.25341796875,2,2,1000
19,1251.33349609375,2,2,1000
20,1253.4033203125,2,2,1000
21,1255.00341796875,1,2,1000
22,1257.60302734375,2,1,1200
23,1260.05322265625,1,1,1000
24,1262.07275390625,1,2,1200
25,1265.2529296875,2,2,1200
26,1266.6728515625,1,1,1000
27,1269.2529296875,2,2,1000
28,1270.732421875,1,1,1000
29,1272.78271484375,1,1,1000
30,1274.68212890625,1,2,1200
31,1276.8525390625,1,1,1000
32,1284.0322265625,1,1,1000
33,1286.671875,2,2,1000
34,1288.1318359375,1,1,1000
35,1290.83154296875,2,1,1200
36,1292.95166015625,2,2,1000
37,1294.50146484375,1,2,1200
38,1297.25146484375,2,2,1000
39,1299.63134765625,2,2,1000
40,1301.18115234375,1,2,1000
41,1305.05078125,2,2,1200
42,1322.919921875,1,1,1000
43,1325.3798828125,2,2,1200
44,1327.81982421875,1,1,1000
45,1330.26953125,2,2,1000
46,1331.74951171875,1,1,1000
47,1333.94970703125,1,2,1200
48,1336.87939453125,2,2,1000
0,1342.2158203125,2,1,1200
1,1347.2158203125,1,1,1000
2,1349.845703125,2,2,1000
3,1351.86572265625,2,2,1000
4,1353.775390625,2,2,1000
5,1357.42529296875,1,1,1000
6,1359.97509765625,2,2,1000
