,onset_time,sound_frequency,target_interval,response
504,1930.782578125,1000,2,2
505,1932.9446875,1200,2,2
506,1934.51890625,1000,1,1
507,1937.040390625,1200,2,2
508,1939.061875,1000,2,2
509,1940.552109375,1000,1,1
510,1942.977890625,1000,2,2
511,1944.58921875,1000,1,1
512,1946.934921875,1000,1,1
513,1948.821640625,1000,1,2
514,1950.700546875,1200,1,2
515,1952.700546875,1000,1,1
516,1955.3275,1200,2,1
517,1956.751328125,1200,1,1
518,1959.278671875,1000,2,1
519,1962.30796875,1200,2,1
520,1964.4603125,1000,2,1
521,1966.249375,1000,1,1
522,1968.825546875,1000,2,1
523,1970.92125,1000,2,1
524,1972.8353125,1000,1,1
525,1974.684921875,1000,1,1
526,1977.22203125,1200,2,1
527,1979.126328125,1000,2,2
528,1980.516953125,1000,1,1
529,1982.98375,1000,2,2
530,1984.333359375,1000,1,1
531,1986.602890625,1000,1,1
532,1988.501328125,1000,1,1
533,1991.157578125,1000,2,2
534,1992.968125,1000,2,2
535,1994.82359375,1000,2,2
536,1996.80796875,1200,2,2
537,1998.907578125,1000,2,2
538,2000.5540625,1000,1,1
539,2003.05796875,1000,2,2
540,2004.501328125,1000,1,1
541,2006.3821875,1200,1,1
542,2009.6946875,1000,2,2
543,2013.14,1200,2,2
544,2014.58140625,1200,1,1
545,2016.907578125,1000,2,2
546,2019.0071875,1000,2,2
547,2021.155625,1000,2,2
548,2024.0071875,1200,2,2
549,2026.040390625,1000,2,2
550,2226.52671875,1200,2,1
551,2228.5384375,1200,1,1
552,2231.3821875,1000,2,2
553,2232.95640625,1000,1,1
554,2234.790390625,1000,1,1
555,2237.751328125,1000,2,2
556,2239.07359375,1000,1,1
557,2241.095078125,1000,1,1
558,2243.30796875,1200,1,1
559,2245.96421875,1000,2,2
560,2248.593125,1200,1,2
561,2251.1634375,1000,2,1
562,2252.786484375,1200,1,1
563,2255.306015625,1000,1,1
564,2257.749375,1200,2,2
565,2259.345078125,1200,1,1
566,2261.841171875,1000,1,1
567,2264.22984375,1200,2,1
568,2266.280625,1200,2,2
569,2268.481796875,1000,2,1
570,2270.138046875,1000,1,1
571,2272.813828125,1000,2,2
572,2274.22203125,1000,1,1
573,2276.095078125,1000,1,1
574,2278.481796875,1200,2,1
575,2280.94859375,1000,2,1
576,2282.556015625,1000,1,1
577,2285.265,1000,2,2
578,2286.653671875,1000,1,2
579,2289.54625,1000,2,2
580,2291.059921875,1000,1,1
581,2292.87046875,1000,1,1
582,2294.97203125,1000,1,1
583,2297.763046875,1000,2,2
584,2299.204453125,1200,1,1
585,2301.184921875,1000,1,1
586,2303.204453125,1000,1,1
587,2305.634140625,1000,2,2
588,2307.80015625,1000,2,2
589,2309.23765625,1000,1,1
590,2311.747421875,1200,2,1
591,2313.372421875,1000,1,1
592,2315.2571875,1000,1,1
593,2317.802109375,1000,2,1
594,2319.657578125,1000,2,2
595,2321.138046875,1000,1,1
596,2323.26890625,1000,1,1
597,2325.6634375,1000,2,2
598,2327.833359375,1200,1,2
599,2330.65953125,1000,2,2
600,2378.903671875,1200,1,2
601,2381.0853125,1200,1,2
602,2383.0853125,1000,1,1
603,2385.0696875,1000,1,1
604,2387.477890625,1000,2,2
605,2388.817734375,1000,1,1
606,2391.4603125,1000,2,2
607,2393.016953125,1000,1,1
608,2395.01890625,1000,1,1
609,2397.2025,1000,1,1
610,2399.77671875,1000,2,1
611,2401.155625,1000,1,1
612,2403.005234375,1200,1,1
613,2405.65953125,1000,2,1
614,2407.0384375,1000,1,1
615,2409.03453125,1000,1,1
616,2410.98375,1000,1,1
617,2413.544296875,1200,2,2
618,2415.200546875,1000,1,1
619,2417.015,1000,1,1
620,2418.915390625,1000,1,1
621,2421.259140625,1000,2,2
622,2422.622421875,1000,1,1
623,2425.124375,1200,2,1
624,2426.71421875,1200,1,1
625,2428.999375,1000,1,1
626,2431.69078125,1200,2,2
627,2433.419296875,1000,1,1
628,2437.593125,1000,2,2
629,2439.87828125,1200,2,2
630,2441.876328125,1000,2,2
631,2444.02671875,1000,2,2
632,2445.48375,1200,1,1
633,2448.19078125,1000,2,2
634,2450.54625,1000,1,1
635,2453.067734375,1000,2,2
636,2454.6165625,1000,1,1
637,2457.473984375,1000,2,1
638,2459.3978125,1200,1,2
639,2461.942734375,1000,2,2
640,2463.34703125,1000,1,1
641,2465.548203125,1000,1,1
642,2467.497421875,1000,1,1
643,2469.43296875,1000,1,1
644,2471.80796875,1000,2,2
645,2473.83921875,1000,2,2
646,2475.3978125,1000,1,1
647,2478.138046875,1200,2,2
648,2479.669296875,1200,1,1
649,2482.015,1000,1,1
650,2561.87828125,1200,1,1
651,2564.2025,1000,2,2
652,2566.218125,1000,2,2
653,2568.2884375,1200,2,1
654,2570.15953125,1000,1,1
655,2572.098984375,1200,1,2
656,2574.110703125,1200,1,1
657,2576.60484375,1000,2,2
658,2578.899765625,1000,2,2
659,2580.903671875,1200,2,2
660,2582.3821875,1000,1,1
661,2585.01890625,1000,2,2
662,2586.809921875,1000,1,1
663,2589.204453125,1200,2,2
664,2590.5775,1200,1,2
665,2593.306015625,1000,2,2
666,2594.79234375,1000,1,1
667,2597.251328125,1000,2,2
668,2599.071640625,1000,2,2
669,2600.989609375,1000,2,2
670,2602.427109375,1200,1,1
671,2604.374375,1000,1,1
672,2606.309921875,1000,1,1
673,2608.192734375,1000,1,1
674,2610.669296875,1000,2,2
675,2613.899765625,1000,2,2
676,2615.76890625,1000,2,2
677,2617.579453125,1000,2,2
678,2619.2571875,1000,1,1
679,2621.65171875,1000,2,2
680,2622.9915625,1000,1,1
681,2624.94859375,1000,1,1
682,2627.259140625,1000,1,1
683,2629.833359375,1000,2,2
684,2631.90171875,1200,2,2
685,2633.968125,1000,2,2
686,2635.27671875,1000,1,1
687,2637.513046875,1000,1,1
688,2640.030625,1000,2,1
689,2642.173203125,1200,2,2
690,2643.739609375,1000,1,1
691,2645.880234375,1200,1,2
692,2648.43296875,1000,2,2
693,2650.39,1000,1,1
694,2653.40171875,1000,2,2
695,2655.48375,1000,2,2
696,2657.436875,1000,2,2
697,2658.763046875,1000,1,1
698,2660.958359375,1200,1,1
699,2663.08921875,1000,1,1
700,2746.374375,1000,2,2
701,2747.88609375,1200,1,1
702,2750.23375,1000,2,2
703,2752.333359375,1000,2,2
704,2754.395859375,1200,2,1
705,2755.97203125,1200,1,1
706,2757.825546875,1000,1,1
707,2759.817734375,1200,1,1
708,2761.70640625,1000,1,1
709,2764.24546875,1000,2,1
710,2766.145859375,1000,2,2
711,2767.6009375,1200,1,2
712,2770.3509375,1000,2,2
713,2772.345078125,1000,2,2
714,2773.872421875,1200,1,1
715,2776.23375,1000,1,1
716,2778.7259375,1000,2,2
717,2780.595078125,1000,2,2
718,2782.561875,1000,2,2
719,2784.43296875,1200,2,2
720,2786.0384375,1000,1,1
721,2788.602890625,1000,1,1
722,2790.806015625,1200,1,1
723,2793.36265625,1000,2,2
724,2794.686875,1000,1,1
725,2796.8665625,1000,1,2
726,2799.384140625,1000,2,2
727,2801.286484375,1000,1,1
728,2803.626328125,1000,2,2
729,2804.970078125,1000,1,1
730,2807.47984375,1200,2,2
731,2809.49546875,1000,2,2
732,2811.47984375,1000,2,2
733,2812.80015625,1200,1,1
734,2814.6009375,1200,1,2
735,2816.51890625,1200,1,1
736,2818.95640625,1000,2,2
737,2821.74546875,1000,2,2
738,2824.4446875,1000,2,2
739,2826.265,1000,2,2
740,2827.966171875,1000,1,1
741,2830.598984375,1000,1,1
742,2833.227890625,1000,2,2
743,2835.126328125,1000,2,2
744,2836.516953125,1000,1,1
745,2838.434921875,1000,1,1
746,2840.92125,1000,2,2
747,2842.743515625,1000,2,2
748,2844.32359375,1000,1,1
749,2846.41734375,1200,1,1
750,2933.50328125,1000,1,1
751,2935.532578125,1000,1,1
752,2937.348984375,1200,1,1
753,2939.38609375,1000,1,1
754,2941.70640625,1200,2,2
755,2943.079453125,1000,1,1
756,2945.509140625,1000,2,2
757,2948.7884375,1000,2,2
758,2950.681015625,1000,1,1
759,2953.306015625,1000,2,2
760,2955.028671875,1000,1,1
761,2957.540390625,1000,2,2
762,2959.489609375,1000,2,2
763,2961.423203125,1200,2,2
764,2963.489609375,1200,2,2
765,2965.35484375,1000,2,2
766,2967.30796875,1000,2,2
767,2968.72984375,1000,1,1
768,2970.61265625,1000,1,1
769,2973.593125,1200,2,2
770,2975.200546875,1000,1,1
771,2977.34703125,1000,1,1
772,2980.188828125,1000,2,1
773,2982.06578125,1000,1,1
774,2984.72203125,1200,2,1
775,2986.73375,1000,1,1
776,2988.97203125,1000,1,1
777,2991.5696875,1000,2,2
778,2992.880234375,1000,1,1
779,2994.8665625,1200,1,1
780,2997.45640625,1000,2,2
781,2999.4915625,1000,2,2
782,3000.86265625,1200,1,2
783,3002.72984375,1000,1,1
784,3004.817734375,1200,1,2
785,3007.39,1200,2,1
786,3009.325546875,1000,2,2
787,3011.477890625,1000,1,1
788,3013.395859375,1000,1,1
789,3015.80015625,1000,1,2
790,3017.794296875,1000,1,1
791,3020.270859375,1200,2,2
792,3022.286484375,1000,2,1
793,3023.626328125,1200,1,1
794,3026.220078125,1000,2,2
795,3028.528671875,1000,1,1
796,3030.876328125,1000,1,1
797,3033.403671875,1000,2,2
798,3034.77671875,1000,1,1
799,3036.8275,1200,1,2
800,3225.94859375,1000,1,1
801,3228.40953125,1000,1,1
802,3230.602890625,1000,1,1
803,3232.977890625,1000,2,2
804,3234.50328125,1200,1,2
805,3236.536484375,1200,1,1
806,3238.65171875,1000,1,1
807,3240.8509375,1000,1,1
808,3242.76890625,1000,1,1
809,3244.634140625,1000,1,1
810,3246.48375,1000,1,1
811,3249.1478125,1000,2,2
812,3251.1165625,1000,2,2
813,3253.311875,1000,2,1
814,3256.513046875,1200,2,1
815,3258.51109375,1200,2,1
816,3260.3353125,1200,1,1
817,3262.212265625,1000,1,1
818,3264.091171875,1000,1,1
819,3266.036484375,1200,1,2
820,3268.15171875,1200,1,1
821,3270.220078125,1000,1,1
822,3273.110703125,1000,2,1
823,3275.04625,1200,2,2
824,3277.3275,1000,2,2
825,3278.81578125,1000,1,1
826,3281.677109375,1000,2,2
827,3283.727890625,1000,2,2
828,3285.6946875,1200,2,1
829,3287.12046875,1200,1,2
830,3289.03453125,1000,1,1
831,3291.6165625,1000,2,2
832,3293.216171875,1200,1,1
833,3295.927109375,1200,2,2
834,3298.29234375,1000,2,1
835,3299.915390625,1000,1,1
836,3301.999375,1000,1,1
837,3304.58140625,1000,2,2
838,3306.60875,1000,2,2
839,3308.4759375,1200,2,1
840,3310.0853125,1000,1,2
841,3312.01890625,1000,1,1
842,3314.149765625,1000,1,1
843,3316.016953125,1000,1,1
844,3317.993515625,1000,1,1
845,3320.6946875,1000,2,2
846,3322.18296875,1000,1,1
847,3324.048203125,1000,1,2
848,3327.10875,1000,2,2
849,3329.02671875,1000,2,1
850,3397.718125,1000,1,1
851,3399.76109375,1000,1,1
852,3402.69078125,1000,2,2
853,3404.70640625,1200,2,1
854,3406.298203125,1000,1,1
855,3408.145859375,1000,1,1
856,3410.47203125,1200,2,2
857,3412.218125,1200,1,1
858,3414.114609375,1000,1,1
859,3416.04625,1000,1,1
860,3418.47203125,1000,2,1
861,3420.938828125,1200,2,2
862,3423.0071875,1000,2,1
863,3425.0228125,1200,2,1
864,3426.89,1000,2,1
865,3428.83921875,1000,2,1
866,3431.30796875,1000,2,2
867,3432.684921875,1000,1,1
868,3435.419296875,1000,2,2
869,3437.5853125,1200,2,1
870,3440.177109375,1000,2,2
871,3441.87828125,1200,1,1
872,3444.368515625,1000,2,2
873,3446.403671875,1000,2,2
874,3448.22984375,1000,2,2
875,3450.169296875,1000,2,2
876,3452.106796875,1000,2,2
877,3453.8509375,1000,1,2
878,3456.454453125,1200,2,2
879,3457.9446875,1200,1,1
880,3459.79234375,1000,1,1
881,3461.73375,1000,1,2
882,3465.040390625,1000,2,2
883,3467.10484375,1200,2,2
884,3469.10484375,1000,2,2
885,3470.49546875,1200,1,1
886,3472.345078125,1000,1,2
887,3474.274765625,1000,1,1
888,3476.78453125,1000,2,2
889,3478.704453125,1000,2,2
890,3480.212265625,1000,1,1
891,3482.727890625,1000,1,1
892,3485.17125,1000,2,2
893,3487.13609375,1000,2,2
894,3488.94078125,1000,1,1
895,3491.4525,1200,2,2
896,3493.470078125,1000,2,2
897,3494.891953125,1200,1,1
898,3497.2884375,1000,2,2
899,3498.677109375,1000,1,1
900,3722.85875,1000,2,2
901,3724.79625,1000,2,2
902,3726.661484375,1200,2,1
903,3728.9759375,1000,2,2
904,3731.02671875,1000,2,2
905,3732.501328125,1000,1,1
906,3734.8275,1200,2,1
907,3736.302109375,1000,1,1
908,3739.110703125,1000,2,2
909,3741.0384375,1000,2,2
910,3742.468125,1200,1,1
911,3745.079453125,1200,2,2
912,3746.501328125,1000,1,1
913,3748.87828125,1000,2,2
914,3750.501328125,1000,1,1
915,3753.37828125,1000,2,2
916,3755.843125,1000,2,1
917,3757.977890625,1200,2,1
918,3760.091171875,1000,2,2
919,3761.942734375,1200,2,1
920,3763.968125,1000,1,1
921,3766.427109375,1200,2,1
922,3768.265,1200,1,1
923,3770.218125,1000,1,1
924,3772.89390625,1200,2,1
925,3774.48375,1000,1,1
926,3776.6478125,1200,1,1
927,3778.962265625,1000,2,2
928,3781.192734375,1000,2,2
929,3782.58140625,1000,1,1
930,3785.177109375,1000,2,2
931,3786.6321875,1000,1,1
932,3789.08140625,1000,2,2
933,3790.911484375,1200,2,1
934,3792.958359375,1000,2,2
935,3795.247421875,1000,1,1
936,3797.76109375,1000,2,2
937,3799.249375,1000,1,1
938,3801.114609375,1000,1,1
939,3802.94859375,1000,1,1
940,3805.509140625,1000,2,2
941,3807.528671875,1000,1,1
942,3809.5853125,1000,1,1
943,3811.466171875,1000,1,1
944,3814.013046875,1000,2,2
945,3816.282578125,1000,1,2
946,3818.265,1000,1,1
947,3820.18296875,1000,1,1
948,3822.70640625,1000,2,2
949,3824.708359375,1000,2,1
950,3829.438828125,1000,2,2
951,3831.57359375,1200,2,1
952,3833.72984375,1200,1,2
953,3836.391953125,1200,2,2
954,3838.411484375,1000,2,1
955,3840.626328125,1000,2,2
956,3842.165390625,1000,1,1
957,3844.251328125,1000,1,1
958,3846.7259375,1000,2,2
959,3848.048203125,1000,1,1
960,3850.0853125,1200,1,1
961,3852.540390625,1000,2,2
962,3854.09703125,1000,1,1
963,3855.907578125,1000,1,2
964,3858.40953125,1200,2,1
965,3860.489609375,1200,2,1
966,3861.79625,1000,1,1
967,3864.489609375,1000,2,1
968,3865.905625,1000,1,1
969,3868.454453125,1000,2,2
970,3870.622421875,1000,2,2
971,3872.434921875,1000,1,1
972,3874.348984375,1200,1,2
973,3877.34703125,1000,1,1
974,3879.95640625,1000,2,2
975,3881.94078125,1000,2,2
976,3883.806015625,1000,2,2
977,3885.561875,1200,1,1
978,3888.0384375,1000,2,2
979,3889.4290625,1000,1,1
980,3891.7884375,1000,2,2
981,3893.720078125,1200,2,2
982,3895.82359375,1000,2,2
983,3898.2884375,1200,2,1
984,3900.29234375,1200,2,1
985,3902.70640625,1000,2,2
986,3904.28453125,1000,1,1
987,3906.329453125,1000,1,1
988,3908.7025,1000,2,2
989,3910.12828125,1200,1,1
990,3912.16734375,1000,1,1
991,3914.446640625,1000,1,1
992,3916.958359375,1000,2,2
993,3918.567734375,1000,1,1
994,3920.880234375,1000,1,2
995,3923.329453125,1000,1,2
996,3925.87046875,1000,2,2
997,3927.708359375,1000,2,1
998,3929.145859375,1000,1,1
999,3931.14390625,1200,1,2
